UID          PID    PPID  C STIME TTY          TIME CMD
seonu       2019    2003  0 14:36 ?        00:00:00 /opt/google/chrome/chrome --type=zygote --no-zygote-sandbox --crashpad-handler-pid=2011 --enable-crash-reporter=, --change-stack-guard-on-fork=enable
seonu       2020    2003  0 14:36 ?        00:00:00 /opt/google/chrome/chrome --type=zygote --crashpad-handler-pid=2011 --enable-crash-reporter=, --change-stack-guard-on-fork=enable
seonu       2022    2020  0 14:36 ?        00:00:00 /opt/google/chrome/chrome --type=zygote --crashpad-handler-pid=2011 --enable-crash-reporter=, --change-stack-guard-on-fork=enable
seonu       2057    2019  0 14:36 ?        00:00:54 /opt/google/chrome/chrome --type=gpu-process --ozone-platform=wayland --render-node-override=/dev/dri/renderD128 --crashpad-handler-pid=2011 --enable-crash-reporter=, --change-stack-guard-on-fork=enable --gpu-preferences=UAAAAAAAAAAgAAAIAAAAAAAAAAAAAGAAAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAYAAAAAAAAABgAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAAgAAAAAAAAA --shared-files --metrics-shmem-handle=4,i,12225383579135303575,1690612484686164425,262144 --field-trial-handle=3,i,15320668961730827140,14639860580789745434,262144 --disable-features=EyeDropper --variations-seed-version=20250924-180049.143000
seonu       2060    1472  0 14:36 ?        00:00:08 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.V5DND3 -listen 4 -listen 5 -displayfd 6 -initfd 7
seonu       2061    2003  0 14:36 ?        00:00:15 /opt/google/chrome/chrome --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --render-node-override=/dev/dri/renderD128 --crashpad-handler-pid=2011 --enable-crash-reporter=, --change-stack-guard-on-fork=enable --shared-files=v8_context_snapshot_data:100 --metrics-shmem-handle=4,i,17295554429476883033,12756938205748792272,524288 --field-trial-handle=3,i,15320668961730827140,14639860580789745434,262144 --disable-features=EyeDropper --variations-seed-version=20250924-180049.143000
seonu       2080    2022  0 14:36 ?        00:00:00 /opt/google/chrome/chrome --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-US --service-sandbox-type=utility --render-node-override=/dev/dri/renderD128 --crashpad-handler-pid=2011 --enable-crash-reporter=, --change-stack-guard-on-fork=enable --shared-files=v8_context_snapshot_data:100 --metrics-shmem-handle=4,i,12891032259848755512,13793414559769211306,524288 --field-trial-handle=3,i,15320668961730827140,14639860580789745434,262144 --disable-features=EyeDropper --variations-seed-version=20250924-180049.143000
seonu       2094    1314  0 14:36 ?        00:00:00 /usr/libexec/gsd-xsettings
seonu       2139    1314  0 14:36 ?        00:00:00 /usr/libexec/ibus-x11
seonu       2242    2022  0 14:36 ?        00:02:45 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=2011 --enable-crash-reporter=, --change-stack-guard-on-fork=enable --ozone-platform=wayland --lang=en-US --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=9 --time-ticks-at-unix-epoch=-1758864938196798 --launch-time-ticks=47731243 --shared-files=v8_context_snapshot_data:100 --metrics-shmem-handle=4,i,10899225976314288131,11127859252514041866,2097152 --field-trial-handle=3,i,15320668961730827140,14639860580789745434,262144 --disable-features=EyeDropper --variations-seed-version=20250924-180049.143000
seonu       2259    2022  0 14:36 ?        00:00:01 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=2011 --enable-crash-reporter=, --change-stack-guard-on-fork=enable --ozone-platform=wayland --lang=en-US --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=11 --time-ticks-at-unix-epoch=-1758864938196798 --launch-time-ticks=50016907 --shared-files=v8_context_snapshot_data:100 --metrics-shmem-handle=4,i,2864846450179914591,8806030051494000716,2097152 --field-trial-handle=3,i,15320668961730827140,14639860580789745434,262144 --disable-features=EyeDropper --variations-seed-version=20250924-180049.143000
seonu       2314    1446  0 14:37 ?        00:00:00 update-notifier
root        2342       2  0 14:37 ?        00:00:01 [kworker/u9:3-rb_allocator]
seonu       2687    1314  0 14:39 ?        00:00:17 /usr/share/code/code .
seonu       2690    2687  0 14:39 ?        00:00:00 /usr/share/code/code --type=zygote --no-zygote-sandbox
seonu       2691    2687  0 14:39 ?        00:00:00 /usr/share/code/code --type=zygote
seonu       2693    2691  0 14:39 ?        00:00:00 /usr/share/code/code --type=zygote
seonu       2712    1314  0 14:39 ?        00:00:00 /usr/share/code/chrome_crashpad_handler --monitor-self-annotation=ptype=crashpad-handler --no-rate-limit --database=/home/seonu/.config/Code/Crashpad --url=appcenter://code?aid=fba07a4d-84bd-4fc8-a125-9640fc8ce171&uid=bfd554df-a23f-4577-9687-3e9110b4ac42&iid=bfd554df-a23f-4577-9687-3e9110b4ac42&sid=bfd554df-a23f-4577-9687-3e9110b4ac42 --annotation=_companyName=Microsoft --annotation=_productName=VSCode --annotation=_version=1.103.2 --annotation=lsb-release=Ubuntu 22.04.5 LTS --annotation=plat=Linux --annotation=prod=Electron --annotation=ver=37.2.3 --initial-client-fd=46 --shared-client-connection
seonu       2728    2690  0 14:39 ?        00:00:29 /usr/share/code/code --type=zygote --no-zygote-sandbox
seonu       2733    2687  0 14:39 ?        00:00:00 /proc/self/exe --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --crashpad-handler-pid=2712 --enable-crash-reporter=28e6ce92-4cf2-4eef-98e5-06eb6bbd4410,no_channel --user-data-dir=/home/seonu/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,3389430044821921034,16582802929616711912,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,FontationsLinuxSystemFonts,ScreenAIOCREnabled,SpareRendererForSitePerProcess --variations-seed-version
seonu       2761    2693  0 14:39 ?        00:02:01 /usr/share/code/code --type=zygote
seonu       2773    2687  0 14:39 ?        00:00:30 /proc/self/exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --dns-result-order=ipv4first --experimental-network-inspection --inspect-port=0 --crashpad-handler-pid=2712 --enable-crash-reporter=28e6ce92-4cf2-4eef-98e5-06eb6bbd4410,no_channel --user-data-dir=/home/seonu/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,3389430044821921034,16582802929616711912,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,FontationsLinuxSystemFonts,ScreenAIOCREnabled,SpareRendererForSitePerProcess --variations-seed-version
seonu       2785    2687  0 14:39 ?        00:00:07 /proc/self/exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --crashpad-handler-pid=2712 --enable-crash-reporter=28e6ce92-4cf2-4eef-98e5-06eb6bbd4410,no_channel --user-data-dir=/home/seonu/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,3389430044821921034,16582802929616711912,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,FontationsLinuxSystemFonts,ScreenAIOCREnabled,SpareRendererForSitePerProcess --variations-seed-version
seonu       2786    2687  0 14:39 ?        00:00:16 /proc/self/exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --crashpad-handler-pid=2712 --enable-crash-reporter=28e6ce92-4cf2-4eef-98e5-06eb6bbd4410,no_channel --user-data-dir=/home/seonu/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,3389430044821921034,16582802929616711912,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,FontationsLinuxSystemFonts,ScreenAIOCREnabled,SpareRendererForSitePerProcess --variations-seed-version
seonu       2832    2773  0 14:40 ?        00:00:00 /home/seonu/.vscode/extensions/ms-python.python-2025.14.0-linux-x64/python-env-tools/bin/pet server
seonu       2959    2687  0 14:40 ?        00:00:08 /proc/self/exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --crashpad-handler-pid=2712 --enable-crash-reporter=28e6ce92-4cf2-4eef-98e5-06eb6bbd4410,no_channel --user-data-dir=/home/seonu/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,3389430044821921034,16582802929616711912,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync --disable-features=CalculateNativeWinOcclusion,FontationsLinuxSystemFonts,ScreenAIOCREnabled,SpareRendererForSitePerProcess --variations-seed-version
seonu       2987    2959  0 14:40 pts/2    00:00:00 /usr/bin/bash --init-file /usr/share/code/resources/app/out/vs/workbench/contrib/terminal/common/scripts/shellIntegration-bash.sh
seonu       3067    2773  0 14:40 ?        00:01:08 /usr/share/code/code /home/seonu/.vscode/extensions/ms-python.vscode-pylance-2025.8.2/dist/server.bundle.js --cancellationReceive=file:ca115b92880ec9e89b0ffd0039a78cd72f089652e5 --node-ipc --clientProcessId=2773
root        3129       2  0 14:45 ?        00:00:00 [kworker/1:1-mm_percpu_wq]
seonu       3158    2022  0 14:48 ?        00:00:15 /opt/google/chrome/chrome --type=renderer --crashpad-handler-pid=2011 --enable-crash-reporter=, --change-stack-guard-on-fork=enable --ozone-platform=wayland --lang=en-US --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=14 --time-ticks-at-unix-epoch=-1758864938196798 --launch-time-ticks=785484363 --shared-files=v8_context_snapshot_data:100 --metrics-shmem-handle=4,i,4790817226727719385,9121526251162928941,2097152 --field-trial-handle=3,i,15320668961730827140,14639860580789745434,262144 --disable-features=EyeDropper --variations-seed-version=20250924-180049.143000
root        3194       2  0 14:50 ?        00:00:00 [kworker/2:1-mm_percpu_wq]
seonu       3203    1314  0 14:50 ?        00:00:05 /usr/bin/nautilus --gapplication-service
